Event	ID	Name			Wwise Object Path	Notes
	202441241	Enemy2_Hurt			\Enemies\Enemies\Enemy2_Hurt	
	222867808	Enemy3_Slash			\Enemies\Enemies\Enemy3_Slash	
	540308745	Enemy2_Slash			\Enemies\Enemies\Enemy2_Slash	
	916833145	Enemy1_Dead			\Enemies\Enemies\Enemy1_Dead	
	1251584733	Enemy1_SwordClash			\Enemies\Enemies\Enemy1_SwordClash	
	1987237454	Enemy_Flesh_Hit			\Enemies\Enemies\Enemy_Flesh_Hit	
	2435509993	Enemy3_ShieldBlock			\Enemies\Enemies\Enemy3_ShieldBlock	
	3176015810	Enemy1_Slash			\Enemies\Enemies\Enemy1_Slash	
	3434500843	Enemy_SwordDraw			\Enemies\Enemies\Enemy_SwordDraw	
	3461881315	Enemy3_Dead			\Enemies\Enemies\Enemy3_Dead	
	3535166590	Enemy_SwordDrop			\Enemies\Enemies\Enemy_SwordDrop	
	4028347596	Enemy1_Hurt			\Enemies\Enemies\Enemy1_Hurt	
	4111352050	Enemy3_Hurt			\Enemies\Enemies\Enemy3_Hurt	
	4117129356	Enemy2_Dead			\Enemies\Enemies\Enemy2_Dead	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7718038	E2_Hurt_2	C:\Users\Kay\Documents\GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy\Enemy_2\E2_Hurt_2_1C9C67B2.wem		\Actor-Mixer Hierarchy\Enemies\Enemy2\Enemy2_Hurt\E2_Hurt_2		55614
	34348135	E2_Hurt_1	C:\Users\Kay\Documents\GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy\Enemy_2\E2_Hurt_1_1C9C67B2.wem		\Actor-Mixer Hierarchy\Enemies\Enemy2\Enemy2_Hurt\E2_Hurt_1		51796
	46166543	Enemy_SpearSwing	C:\Users\Kay\Documents\GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy_SpearSwing_1C9C67B2.wem		\Actor-Mixer Hierarchy\Enemies\Enemy2\Enemy_SpearSwing		44164
	95151264	Enemy_ShieldBlock	C:\Users\Kay\Documents\GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy_ShieldBlock_1C9C67B2.wem		\Actor-Mixer Hierarchy\Enemies\Enemy3\Enemy_ShieldBlock		186320
	186105963	E3_Hurt_1	C:\Users\Kay\Documents\GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy\Enemy_3\E3_Hurt_1_1C9C67B2.wem		\Actor-Mixer Hierarchy\Enemies\Enemy3\Enemy3_Hurt\E3_Hurt_1		94200
	232669740	Enemy_SwordClash	C:\Users\Kay\Documents\GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy_SwordClash_1C9C67B2.wem		\Actor-Mixer Hierarchy\Enemies\Enemy1\Enemy_SwordClash		241128
	250696451	Enemy_Slash	C:\Users\Kay\Documents\GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy_Slash_1C9C67B2.wem		\Actor-Mixer Hierarchy\Enemies\Enemy1\Enemy_Slash		153528
	347745547	E3_Dead_2	C:\Users\Kay\Documents\GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy\Enemy_3\E3_Dead_2_1C9C67B2.wem		\Actor-Mixer Hierarchy\Enemies\Enemy3\Enemy3_Dead\E3_Dead_2		67124
	402319163	Enemy_Flesh_Cut	C:\Users\Kay\Documents\GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Misc_Combat\sword_hit_1C9C67B2.wem		\Actor-Mixer Hierarchy\Enemies\Enemy_Flesh_Cut		35344
	416970658	E1_Dead_1	C:\Users\Kay\Documents\GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Enemy\Enemy_1\E1_Dead_1_1C9C67B2.wem		\Actor-Mixer Hierarchy\Enemies\Enemy1\Enemy1_Dead\E1_Dead_1		118430
