Event	ID	Name			Wwise Object Path	Notes
	48383132	Chain			\Stage\Puzzle\Chain	
	417627684	PlayMusic			\Stage\PlayMusic	
	777507535	WaterSplash			\Stage\Puzzle\WaterSplash	
	1181117825	PlayAmbient			\Stage\PlayAmbient	
	1242499422	SwitchOn			\Stage\Puzzle\SwitchOn	
	1287847765	MetalClash			\Stage\MetalClash	
	1503597272	StartPuzzleCountdown			\Stage\Puzzle\StartPuzzleCountdown	
	2385628198	Footsteps			\Stage\Footsteps	
	2469070767	DoorLoop			\Stage\Puzzle\DoorLoop	
	2503704488	BarrelSinking			\Stage\Puzzle\BarrelSinking	
	2666752652	DoorEnd			\Stage\Puzzle\DoorEnd	
	2782712987	Lever			\Stage\Puzzle\Lever	
	3035439363	PlayTorch			\Stage\PlayTorch	
	3627978879	RopeCut			\Stage\Puzzle\RopeCut	
	3953897988	SwitchOff			\Stage\Puzzle\SwitchOff	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	116569670	WaterSplash_1	F:\Escritorio\Proyectos GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Puzzle\BarrelSplash_1F4389CB.wem		\Actor-Mixer Hierarchy\Default Work Unit\BarrelPuzzle\WaterSplash\WaterSplash_1		508364
	141306871	RopeCut	F:\Escritorio\Proyectos GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Puzzle\Rope_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\BarrelPuzzle\RopeCut		188224
	158615143	Boss_theme	F:\Escritorio\Proyectos GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Boss_theme_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\AmbientMusic\FinalBattleBoss\Boss_theme\Boss_theme		8810852
	178260986	footstep_stone	F:\Escritorio\Proyectos GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Ambient\footstep_stone_C599367A.wem		\Actor-Mixer Hierarchy\Stage\FootSepts_Stone\footstep_stone		33908
	252929518	footstep_stone_01	F:\Escritorio\Proyectos GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Ambient\footstep_stone_DADC38C1.wem		\Actor-Mixer Hierarchy\Stage\FootSepts_Stone\footstep_stone_01		32328
	304204776	Switch_Disable	F:\Escritorio\Proyectos GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Switch_Disable_5B7EDBFC.wem		\Actor-Mixer Hierarchy\Stage\Switch_Disable		54116
	337181357	footstep_stone_03	F:\Escritorio\Proyectos GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Ambient\footstep_stone_1C39B089.wem		\Actor-Mixer Hierarchy\Stage\FootSepts_Stone\footstep_stone_03		32756
	448295503	Combat_theme	F:\Escritorio\Proyectos GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Combat_theme_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\AmbientMusic\Combat\Combat_theme\Combat_theme		6401064
	471313250	Timer60bpm	F:\Escritorio\Proyectos GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Puzzle\Timer60bpm_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\PuzzleClock\State1\Puzzle_State1\Timer60bpm		707984
	473597307	Rains_of_Castemere_Little	F:\Escritorio\Proyectos GitHub\AudioWwiseProject\Proyecto3\.cache\Windows\SFX\Rains_of_Castemere_Little_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\AmbientMusic\Level2\Rains_of_Castemere_Little\Rains_of_Castemere_Little		12058432
